Model,ModelSize,OpenSource,TextVQA,POPE,AI2D,ChartQA,ScienceQA,MMMU,MMBench,MathVista,AverageScore
Qwen-VL,9.6B,Yes,63.1,70.0,57.7,59.0,61.1,29.6,32.2,15.5,48.525000000000006
Qwen-VL-Chat,9.6B,Yes,60.7,74.9,63.0,49.8,68.8,37.0,61.8,34.9,56.362500000000004
PandaGPT-13B,14B,Yes,N/A,75.1,50.3,N/A,63.2,32.9,42.5,25.0,48.166666666666664
OpenFlamingo v2,9B,Yes,16.3,52.6,31.7,N/A,44.8,28.8,5.7,18.6,28.357142857142858
ShareGPT4V-7B,7.2B,Yes,51.1,86.6,58.0,21.3,69.5,37.2,67.6,26.5,52.224999999999994
ShareGPT4V-13B,13.4B,Yes,52.7,87.5,61.4,24.6,72.6,36.6,69.8,29.3,54.3125
TransCore-M,13.4B,Yes,55.2,87.1,64.1,28.0,74.9,41.0,82.3,32.3,58.112500000000004
InstructBLIP-7B,8B,Yes,33.6,86.1,40.6,10.9,54.1,30.6,33.9,24.4,39.27499999999999
VisualGLM,8B,Yes,N/A,70.4,41.2,N/A,56.1,29.9,37.6,21.9,42.85
ShareCaptioner,8B,Yes,38.0,84.4,56.7,N/A,82.3,36.3,66.5,29.1,56.1857142857143
Monkey,9.8B,Yes,65.8,83.7,62.5,59.0,72.1,38.9,59.6,33.5,59.3875
Monkey-Chat,9.8B,Yes,65.5,83.5,68.5,59.5,82.4,40.7,72.4,35.9,63.55
MiniGPT-4-v2,8B,Yes,N/A,60.0,30.5,N/A,54.7,25.0,9.4,23.1,33.78333333333333
MiniGPT-4-v1-7B,8B,Yes,N/A,34.6,28.4,N/A,39.6,23.6,23.0,20.4,28.266666666666666
Emu2_chat,37B,Yes,67.6,88.0,49.7,26.8,68.2,35.0,63.6,30.7,53.7
Yi-VL-6B,6.6B,Yes,44.8,82.5,59.8,15.5,72.6,40.3,68.4,29.7,51.699999999999996
Yi-VL-34B,34.6B,Yes,42.5,82.5,65.9,14.0,75.5,45.1,72.4,31.5,53.675
OmniLMM-12B,12B,Yes,62.3,81.7,63.3,22.7,81.1,41.8,71.7,34.7,57.4125
DeepSeek-VL-1.3B,2.0B,Yes,57.8,85.9,51.5,47.4,68.4,33.8,66.4,29.8,55.12500000000001
DeepSeek-VL-7B,7.3B,Yes,64.9,85.6,65.3,59.1,80.9,38.3,73.8,36.9,63.10000000000001
XVERSE-V-13B,13B,Yes,N/A,29.3,70.6,N/A,86.8,44.1,75.4,45.3,58.583333333333336
MiniCPM-Llama3-V2.5,8B,Yes,N/A,86.7,78.4,N/A,89.2,45.8,77.6,54.3,72.00000000000001
CogVLM-17B-Chat,17B,Yes,78.2,88.0,63.3,65.5,66.2,37.3,65.8,35.0,62.4125
CogVLM2-19B-Chat,19B,Yes,N/A,83.4,73.4,33.0,90.2,42.6,73.9,38.6,62.15714285714286
GLM-4v-9B,9B,Yes,N/A,89.4,71.2,N/A,96.7,46.9,71.4,51.1,71.11666666666667
IDEFICS-9B-Instruct,9B,Yes,N/A,81.9,42.2,N/A,53.5,18.4,45.3,21.1,43.73333333333334
IDEFICS-80B-Instruct,80B,Yes,N/A,66.0,54.8,N/A,61.8,24.0,54.6,26.8,48.0
IDEFICS2-8B,8B,Yes,68.9,86.2,72.3,N/A,88.7,45.2,75.7,52.2,69.88571428571429
InternVL-Chat-V1.5,26B,Yes,80.4,87.5,80.6,83.9,93.9,46.8,82.3,54.7,76.2625
Mini-InternVL-Chat-2B-V1.5,2B,Yes,N/A,85.4,69.7,N/A,84.8,37.4,70.7,41.3,64.88333333333334
Mini-InternVL-Chat-4B-V1.5,4B,Yes,N/A,81.4,77.0,N/A,92.6,45.1,75.7,54.6,71.06666666666668
PaliGemma-3B-mix-448,3B,Yes,68.1,87.5,68.3,33.7,94.3,34.9,71.0,28.7,60.81249999999999
Cambrian-8B,8B,Yes,72.6,86.4,74.6,72.6,81.0,41.8,74.6,47.0,68.825
Cambrian-13B,13B,Yes,N/A,86.8,73.6,N/A,79.3,41.6,73.2,47.4,66.98333333333333
Cambrian-34B,34B,Yes,72.1,85.1,79.5,73.7,85.6,50.4,80.4,50.3,72.13749999999999
Chameleon-7B,7B,Yes,N/A,19.4,46.0,N/A,46.8,22.4,15.4,22.3,28.71666666666667
Chameleon-30B,30B,Yes,N/A,59.8,53.7,N/A,58.8,38.8,32.5,23.6,44.53333333333334
InternLM-XComposer,8B,Yes,38.5,70.9,56.9,N/A,89.8,35.6,74.4,29.8,56.557142857142864
InternLM-XComposer2,7B,Yes,69.7,83.0,81.2,71.8,96.7,41.4,80.7,59.5,73.0
InternLM-XComposer2-1.8B,2B,Yes,N/A,84.2,71.1,N/A,92.2,29.7,73.0,50.1,66.71666666666667
InternLM-XComposer2-4KHD,7B,Yes,N/A,2.9,81.0,N/A,96.3,39.7,80.2,59.4,59.91666666666666
InternLM-XComposer2.5,8B,Yes,78.2,87.9,81.6,N/A,96.6,42.9,82.0,63.7,76.12857142857142
"GPT-4v (1106, detail-low)",,No,N/A,75.4,75.9,N/A,82.1,53.8,77.0,48.7,68.81666666666666
"GPT-4v (1106, detail-high)",,No,N/A,N/A,71.4,N/A,N/A,59.3,65.4,48.2,61.075
"GPT-4v (0409, detail-low)",,No,N/A,N/A,76.1,N/A,N/A,62.3,80.8,51.4,67.64999999999999
"GPT-4v (0409, detail-high)",,No,N/A,N/A,78.6,N/A,N/A,61.7,81.0,54.7,69.0
"GPT-4o (0513, detail-low)",,No,N/A,85.0,77.4,N/A,N/A,62.8,83.3,56.5,73.0
"GPT-4o (0513, detail-high)",,No,N/A,85.6,84.6,N/A,90.7,69.2,83.4,61.3,79.13333333333334
"GPT-4o-mini (0718, detail-high)",,No,N/A,81.9,77.8,N/A,85.4,60.0,77.6,52.4,72.51666666666667
Gemini-1.0-Pro,,No,36.9,N/A,72.9,N/A,81.4,49.0,73.6,46.5,60.050000000000004
Gemini-1.5-Pro,,No,N/A,88.2,79.1,N/A,85.7,60.6,73.9,57.7,74.2
Qwen-VL-Plus,,No,N/A,85.4,65.7,N/A,73.4,39.8,67.0,37.6,61.48333333333334
Qwen-VL-Max,,No,N/A,71.9,75.7,N/A,80.0,52.0,77.6,43.4,66.76666666666667
Step-1V,,No,71.6,86.8,79.2,57.7,84.0,49.9,80.7,44.8,69.33749999999999
Claude3-Haiku,,No,N/A,74.4,65.6,N/A,N/A,49.7,60.7,42.2,58.519999999999996
Claude3-Sonnet,,No,N/A,68.2,69.9,N/A,N/A,47.4,67.8,45.0,59.660000000000004
Claude3.5-Sonnet,,No,N/A,73.6,80.2,N/A,88.9,65.9,79.7,61.6,74.98333333333333
Claude3-Opus,,No,N/A,74.0,70.6,N/A,N/A,54.9,63.3,45.8,61.720000000000006
GLM-4v,,No,N/A,89.9,76.1,N/A,97.4,45.6,81.3,45.6,72.65
CongRong,,No,N/A,86.6,82.4,N/A,95.9,48.3,82.8,61.0,76.16666666666667
LLaVA-v1-7B,7.2B,Yes,N/A,75.9,48.3,N/A,61.8,34.1,43.8,25.2,48.18333333333333
LLaVA-v1.5-7B,7.2B,Yes,45.5,86.1,55.5,17.8,69.2,35.7,66.5,25.6,50.237500000000004
LLaVA-v1.5-13B,13.4B,Yes,48.9,88.4,61.1,18.2,72.6,37.0,69.2,27.7,52.887499999999996
LLaVA-InternLM-7B (QLoRA),7.6B,Yes,45.8,86.0,58.0,15.8,68.4,36.9,69.0,27.1,50.875
LLaVA-v1.5-7B (QLoRA),7.2B,Yes,49.7,87.2,55.9,18.7,68.7,33.7,67.7,25.1,50.8375
LLaVA-v1.5-13B (QLoRA),13.4B,Yes,50.7,86.9,61.3,19.0,70.3,35.2,68.8,27.6,52.47500000000001
LLaVA-LLaMA-3-8B,8B,Yes,52.0,87.3,69.9,50.4,72.2,39.2,71.7,40.0,60.3375
LLaVA-InternLM2-7B (QLoRA),8.1B,Yes,49.3,87.8,63.6,16.0,73.7,40.1,73.3,26.0,53.725
LLaVA-InternLM2-20B (QLoRA),20.2B,Yes,50.4,88.1,65.4,17.6,73.7,39.4,75.1,25.3,54.37499999999999
LLaVA-Next-Vicuna-7B,7.1B,Yes,64.4,87.5,67.0,55.4,70.3,37.6,69.2,31.5,60.362500000000004
LLaVA-Next-Mistral-7B,7.6B,Yes,65.2,87.3,69.0,51.8,73.0,37.0,69.6,34.6,60.9375
LLaVA-Next-Vicuna-13B,13.4B,Yes,66.9,87.8,72.2,61.4,73.7,37.3,70.0,34.1,62.925
LLaVA-Next-Yi-34B,34.8B,Yes,69.3,89.6,78.9,67.6,82.0,48.8,81.1,40.4,69.71249999999999
LLaVA-Next-Llama3,8B,Yes,52.8,79.3,68.7,42.7,73.9,38.4,71.2,33.6,57.574999999999996
LLaVA-Next-Interleave-7B-DPO,8B,Yes,56.7,84.2,74.0,49.1,72.7,41.8,75.9,35.5,61.2375
360VL-70B,70B,Yes,N/A,87.3,71.9,N/A,87.4,53.4,78.8,38.0,69.46666666666667
mPLUG-Owl2,8.2B,Yes,56.4,84.6,55.7,22.8,69.5,34.7,66.0,25.4,51.887499999999996
WeMM,7B,Yes,N/A,86.7,77.9,N/A,83.3,45.3,79.3,54.9,71.23333333333333
Phi-3-Vision,4.2B,Yes,72.4,83.7,78.4,81.8,90.0,46.1,73.6,44.6,71.325
MMAlaya,7.8B,Yes,27.1,82.7,42.3,10.2,60.9,32.0,58.7,22.7,42.075
MiniCPM-V,3B,Yes,56.6,79.5,56.3,44.2,77.0,38.3,64.1,30.6,55.825
MiniCPM-V-2,2.8B,Yes,73.2,86.3,62.9,55.6,80.7,38.2,69.1,39.8,63.225
Ovis1.5-Llama3-8B,8B,Yes,74.0,88.5,82.5,76.4,88.8,48.3,80.8,63.0,75.2875
RekaFlash,,No,N/A,80.6,75.6,N/A,85.5,44.8,76.8,26.6,64.98333333333333
RekaEdge,,No,N/A,83.3,67.4,N/A,73.5,42.4,66.4,37.6,61.76666666666667
InternVL2-1B,1B,Yes,70.9,84.9,63.8,67.8,87.9,36.7,65.2,39.4,64.575
InternVL2-2B,2B,Yes,73.4,85.2,74.1,71.7,94.1,36.3,73.4,46.0,69.275
InternVL2-4B,4B,Yes,74.7,84.6,79.0,80.7,96.3,48.3,78.5,58.1,75.025
InternVL2-8B,8B,Yes,N/A,84.2,83.6,N/A,97.1,51.2,82.0,58.3,76.06666666666666
InternVL2-26B,26B,Yes,82.5,86.4,84.5,85.1,97.4,50.7,83.4,59.4,78.675
InternVL2-40B,40B,Yes,83.5,81.9,86.8,83.8,98.5,55.2,86.8,64.0,80.0625
InternVL2-Llama3-76B,76B,Yes,N/A,87.3,87.6,N/A,98.8,58.3,86.5,65.6,80.68333333333334
